1007	31002579	V911	K346	
1578	31002579	V911	K346	
2650	31002561	H296	U210	
2721	31002556	V753	K346	
2724	31002566	E175	K346	
3068	31002560	H296	K346	
3204	31002577	V911	K346	
3205	31002573	H296	K346	
3206	31002567	E175	U210	
3238	31002562	D364	U210	
3244	31002569	E175	K346	
3254	31002585	Z006	M001	Q003
3364	31002521	O477	B274	E545
4042	31002579	V911	K346	
5326	31002575	V911	K346	
6090	31002557	H296	K346	
6826	31002556	V753		
7698	31002573	H296	K346	
7769	31002556	V753		
9260	31002556	V753		
9843	31002559	M267	K346	
